,Kappa2,Threshold2,Cost
20,0.0,"(0.0, 0.0)",inf
37,0.01,"(0.0, 0.0)",inf
4,0.02,"(0.0, 0.0)",inf
27,0.03,"(0.0, 0.0)",inf
89,0.04,"(0.0, 0.0)",inf
63,0.05,"(0.0, 0.0)",inf
79,0.06,"(0.0, 0.0)",inf
59,0.07,"(0.0, 0.0)",inf
70,0.08,"(0.0, 0.0)",inf
97,0.09,"(0.0, 0.0)",inf
76,0.1,"(0.0, 0.0)",inf
51,0.11,"(0.0, 0.0)",inf
94,0.12,"(0.0, 0.0)",inf
67,0.13,"(0.0, 0.0)",inf
8,0.14,"(0.0, 0.0)",inf
32,0.15,"(0.0, 0.0)",inf
12,0.16,"(0.0, 0.0)",inf
34,0.17,"(0.0, 0.0)",inf
23,0.18,"(0.0, 0.0)",inf
0,0.19,"(0.0, 0.0)",inf
5,0.2,"(0.0, 0.0)",inf
24,0.21,"(0.0, 0.0)",inf
15,0.22,"(0.0, 0.0)",inf
42,0.23,"(0.0, 0.0)",inf
84,0.24,"(0.0, 0.0)",inf
54,0.25,"(0.0, 0.0)",inf
86,0.26,"(0.0, 0.0)",inf
64,0.27,"(0.0, 0.0)",inf
47,0.28,"(0.0, 0.0)",inf
28,0.3,"(0.0, 0.0)",inf
1,0.31,"(0.0, 0.0)",inf
39,0.32,"(0.0, 0.0)",inf
18,0.33,"(0.0, 0.0)",inf
57,0.34,"(0.0, 0.0)",inf
81,0.35,"(0.0, 0.0)",inf
60,0.36,"(0.0, 0.0)",inf
90,0.37,"(0.0, 0.0)",inf
74,0.38,"(0.0, 0.0)",inf
49,0.39,"(0.0, 0.0)",inf
16,0.4,"(0.0, 0.0)",inf
43,0.41,"(0.0, 0.0)",inf
7,0.42,"(0.0, 0.0)",inf
26,0.43,"(0.0, 0.0)",inf
88,0.44,"(0.008, 0.099)",10575.0
66,0.45,"(0.021, 0.099)",8227.0
85,0.46,"(0.032, 0.099)",7159.0
55,0.47,"(0.043000000000000003, 0.099)",6372.0
72,0.48,"(0.052000000000000005, 0.099)",5841.0
96,0.49,"(0.06, 0.099)",5416.0
40,0.5,"(0.067, 0.099)",5065.0
19,0.51,"(0.073, 0.099)",4773.0
30,0.52,"(0.079, 0.099)",4485.0
3,0.53,"(0.083, 0.099)",4283.0
62,0.54,"(0.08700000000000001, 0.099)",4088.0
92,0.55,"(0.091, 0.099)",3904.0
58,0.56,"(0.094, 0.099)",3759.0
82,0.57,"(0.098, 0.099)",3541.0
71,0.59,"(0.099, 0.099)",3460.0
69,0.6,"(0.099, 0.099)",3405.0
93,0.61,"(0.099, 0.099)",3349.0
50,0.62,"(0.099, 0.099)",3295.0
78,0.63,"(0.099, 0.099)",3243.0
36,0.64,"(0.099, 0.099)",3192.0
11,0.65,"(0.099, 0.099)",3143.0
31,0.66,"(0.099, 0.099)",3096.0
10,0.67,"(0.099, 0.099)",3050.0
21,0.68,"(0.099, 0.099)",3005.0
45,0.69,"(0.099, 0.099)",2961.0
95,0.7,"(0.099, 0.099)",2919.0
68,0.71,"(0.099, 0.099)",2878.0
77,0.72,"(0.099, 0.099)",2838.0
52,0.73,"(0.099, 0.099)",2799.0
13,0.74,"(0.099, 0.099)",2761.0
35,0.75,"(0.099, 0.099)",2724.0
9,0.76,"(0.099, 0.099)",2688.0
33,0.77,"(0.099, 0.099)",2654.0
44,0.78,"(0.099, 0.099)",2620.0
22,0.79,"(0.099, 0.099)",2586.0
25,0.8,"(0.099, 0.099)",2554.0
6,0.81,"(0.099, 0.099)",2523.0
41,0.82,"(0.099, 0.099)",2492.0
14,0.83,"(0.099, 0.099)",2462.0
53,0.84,"(0.099, 0.099)",2433.0
83,0.85,"(0.099, 0.099)",2404.0
65,0.86,"(0.099, 0.099)",2376.0
87,0.87,"(0.099, 0.099)",2349.0
75,0.88,"(0.099, 0.099)",2322.0
46,0.89,"(0.099, 0.099)",2296.0
2,0.9,"(0.099, 0.099)",2270.0
29,0.91,"(0.099, 0.099)",2245.0
17,0.92,"(0.099, 0.099)",2221.0
38,0.93,"(0.099, 0.099)",2197.0
80,0.94,"(0.099, 0.099)",2174.0
56,0.95,"(0.099, 0.099)",2151.0
91,0.96,"(0.099, 0.099)",2129.0
61,0.97,"(0.099, 0.099)",2107.0
48,0.98,"(0.099, 0.099)",2085.0
73,0.99,"(0.099, 0.099)",2064.0
